Fusion index,Description,Config,Name,OpType,Count,Bounded-by,Execution time,Compute time,Memory time,ICI/NVLink time,ICI/NVLink outbound traffic,ICI/NVLink inbound traffic,Aggregated DCN time,DCN 0 time,PCIe time,Temporary memory size,Persistent memory size,MXU time,VPU time,Transpose time,Permute time,Bytes accessed,Input Tensor Shapes,Output Tensor Shapes,FLOP Count,Op Name,Op Code,Weight Size,Output Shape,parsed_op_type,dim_labels,tile_shapes,num_tiles,max_vmem_demand_bytes,num_mxu_ops,einsum_B_size,einsum_M_size,einsum_N_size,einsum_K_size,vu_softmax_time_ns,Compute Time (ns),Bytes Accessed,DVFS SA Policy,DVFS SA Voltage (V),DVFS SA Frequency (GHz),DVFS VU Policy,DVFS VU Voltage (V),DVFS VU Frequency (GHz),DVFS SRAM Policy,DVFS SRAM Voltage (V),DVFS SRAM Frequency (GHz),DVFS HBM Policy,DVFS HBM Voltage (V),DVFS HBM Frequency (GHz),DVFS ICI Policy,DVFS ICI Voltage (V),DVFS ICI Frequency (GHz),Vmem time,static_energy_sa_J,static_energy_vu_J,static_energy_sram_J,static_energy_hbm_J,static_energy_ici_J,static_energy_other_J,dynamic_energy_sa_J,dynamic_energy_vu_J,dynamic_energy_sram_J,dynamic_energy_hbm_J,dynamic_energy_ici_J,dynamic_energy_other_J,static_energy_J,dynamic_energy_J,total_energy_J,static_power_W,dynamic_power_W,total_power_W,num_setpm_sa,num_setpm_vu,num_setpm_sram,num_setpm_hbm,num_setpm_ici,tflops_per_sec,hbm_bw_GBps,flops_util,hbm_bw_util,DVFS SA Scaling Time (ns),DVFS SA Power Efficiency (%),DVFS VU Scaling Time (ns),DVFS VU Power Efficiency (%),DVFS SRAM Scaling Time (ns),DVFS SRAM Power Efficiency (%),DVFS HBM Scaling Time (ns),DVFS HBM Power Efficiency (%),DVFS ICI Scaling Time (ns),DVFS ICI Power Efficiency (%),DVFS SA Activity Factor,DVFS VU Activity Factor,DVFS SRAM Activity Factor,DVFS HBM Activity Factor,DVFS ICI Activity Factor
32,Attention-serving-decode-Input_rmsnorm,"RMSNorm(x=4x1x2880,memory_placements=0_0,type=DT_BFLOAT16)",AttentionservingdecodeInputrmsnormXnormRMSNormX,VPU,384,Memory,500,8,500,0,0,0,0,0,0,0,0,0,8,0,0,46080,"DT_BFLOAT16:[4,1,2880]","[DT_BFLOAT16:(4,1,2880)]",69120,AttentionservingdecodeInputrmsnormXnormRMSNormX,RMSNorm,0,[],RMSNorm,,,,,0,,,,,0,8,46080,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.13824,85.8306884765625,0.013235294117647059,0.031041840317020796,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
33,Attention-serving-decode-Q/K/V,"XlaEinsum(a=4x1x2880,b=2880x64x64,eq=BLM;MND->BLND,memory_placements=0_0_0,type=DT_BFLOAT16)",AttentionservingdecodeQKVMatMulQ2xnormallgathered2Wq1,MXU,2304,Memory,7966,6946,7966,0,0,0,0,0,0,0,0,6946,1154,0,0,23648768,"DT_BFLOAT16:[4,1,2880],DT_BFLOAT16:[2880,64,64]","[DT_BFLOAT16:(4,1,64,64)]",94371840,AttentionservingdecodeQKVMatMulQ2xnormallgathered2Wq1,Einsum,23592960,[],Einsum,"BLM,MND->BLND","[[4, 1, 2880], [2880, 64, 64], [4, 1, 64, 64]]",1,8429568,736,1,4,4096,2880,0,6946,23648768,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,1684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,11.846829023349235,2764.8294627471932,0.025974784391815196,0.9999383228742109,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
33,Attention-serving-decode-Q/K/V,"XlaEinsum(a=4x1x2880,b=2x2880x8x64,eq=BLM;TMND->BTLND,memory_placements=0_0_0,type=DT_BFLOAT16)",AttentionservingdecodeQKVMatMulKV2xnorm2Wkv1,MXU,2304,Memory,1998,1751,1998,0,0,0,0,0,0,0,0,1751,288,0,0,5929472,"DT_BFLOAT16:[4,1,2880],DT_BFLOAT16:[2,2880,8,64]","[DT_BFLOAT16:(4,2,1,8,64)]",23592960,AttentionservingdecodeQKVMatMulKV2xnorm2Wkv1,Einsum,5898240,[],Einsum,"BLM,TMND->BTLND","[[4, 1, 2880], [2, 2880, 8, 64], [4, 2, 1, 8, 64]]",1,2113536,184,1,4,1024,2880,0,1751,5929472,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,11.808288288288288,2763.8894540292245,0.02589028183998997,0.9995983558876038,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
34,Attention-serving-decode-Softmax(Q*K)*V,"XlaEinsum(a=4x8x8x1x64,b=4x8x2048x64,eq=BGHND;BGSD->BGHNS,memory_placements=0_0_0,type=DT_BFLOAT16)",AttentionservingdecodeSoftmaxQKVMatMulQKprefix2Q2Kcache2,MXU,2304,Memory,3190,803,3190,0,0,0,0,0,0,0,0,0,803,0,0,9469952,"DT_BFLOAT16:[4,8,8,1,64],DT_BFLOAT16:[4,8,2048,64]","[DT_BFLOAT16:(4,8,8,1,2048)]",67108864,AttentionservingdecodeSoftmaxQKVMatMulQKprefix2Q2Kcache2,Einsum,0,[],Einsum,"BGHND,BGSD->BGHNS","[[4, 8, 8, 1, 64], [4, 8, 2048, 64], [4, 8, 8, 1, 2048]]",1,295936,512,32,8,2048,64,0,803,9469952,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,21.03726144200627,2764.758645180251,0.04612528205424169,0.9999127107342679,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
34,Attention-serving-decode-Softmax(Q*K)*V,"XlaEinsum(a=4x8x8x1x64,b=4x8x128x64,eq=BGHND;BGSD->BGHNS,memory_placements=0_0_0,type=DT_BFLOAT16)",AttentionservingdecodeSoftmaxQKVMatMulQKsuffix2Q2Ksuffix2,MXU,2304,Memory,500,50,500,0,0,0,0,0,0,0,0,0,50,0,0,622592,"DT_BFLOAT16:[4,8,8,1,64],DT_BFLOAT16:[4,8,128,64]","[DT_BFLOAT16:(4,8,8,1,128)]",4194304,AttentionservingdecodeSoftmaxQKVMatMulQKsuffix2Q2Ksuffix2,Einsum,0,[],Einsum,"BGHND,BGSD->BGHNS","[[4, 8, 8, 1, 64], [4, 8, 128, 64], [4, 8, 8, 1, 128]]",1,19456,32,32,8,128,64,0,50,622592,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,8.388608,1159.66796875,0.018392456219128873,0.4194097536166365,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
34,Attention-serving-decode-Softmax(Q*K)*V,"Softmax(x=4x8x8x1x2176,memory_placements=0_0,type=DT_BFLOAT16)",AttentionservingdecodeSoftmaxQKVattnWeightsSoftmaxattnWeights,VPU,2304,Memory,751,214,751,0,0,0,0,0,0,0,0,0,214,0,0,2228224,"DT_BFLOAT16:[4,8,8,1,2176]","[DT_BFLOAT16:(4,8,8,1,2176)]",2228224,AttentionservingdecodeSoftmaxQKVattnWeightsSoftmaxattnWeights,Softmax,0,[],Softmax,,,,,0,,,,,0,214,2228224,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,2.9670093209054595,2763.242759653795,0.28406569019085665,0.9993644700375389,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
34,Attention-serving-decode-Softmax(Q*K)*V,"XlaEinsum(a=4x8x8x1x2048,b=4x8x2048x64,eq=BGHNS;BGSD->BGHND,memory_placements=0_0_0,type=DT_BFLOAT16)",AttentionservingdecodeSoftmaxQKVMatMulattnavgprefix2QKprefix2Vcache2,MXU,2304,Memory,3190,803,3190,0,0,0,0,0,0,0,0,0,803,0,0,9469952,"DT_BFLOAT16:[4,8,8,1,2048],DT_BFLOAT16:[4,8,2048,64]","[DT_BFLOAT16:(4,8,8,1,64)]",67108864,AttentionservingdecodeSoftmaxQKVMatMulattnavgprefix2QKprefix2Vcache2,Einsum,0,[],Einsum,"BGHNS,BGSD->BGHND","[[4, 8, 8, 1, 2048], [4, 8, 2048, 64], [4, 8, 8, 1, 64]]",1,148480,512,32,8,64,2048,0,803,9469952,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,21.03726144200627,2764.758645180251,0.04612528205424169,0.9999127107342679,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
34,Attention-serving-decode-Softmax(Q*K)*V,"XlaEinsum(a=4x8x8x1x128,b=4x8x128x64,eq=BGHNS;BGSD->BGHND,memory_placements=0_0_0,type=DT_BFLOAT16)",AttentionservingdecodeSoftmaxQKVMatMulattnavgsuffix2QKsuffix2Vsuffix2,MXU,2304,Memory,500,50,500,0,0,0,0,0,0,0,0,0,50,0,0,622592,"DT_BFLOAT16:[4,8,8,1,128],DT_BFLOAT16:[4,8,128,64]","[DT_BFLOAT16:(4,8,8,1,64)]",4194304,AttentionservingdecodeSoftmaxQKVMatMulattnavgsuffix2QKsuffix2Vsuffix2,Einsum,0,[],Einsum,"BGHNS,BGSD->BGHND","[[4, 8, 8, 1, 128], [4, 8, 128, 64], [4, 8, 8, 1, 64]]",1,19456,32,32,8,64,128,0,50,622592,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,8.388608,1159.66796875,0.018392456219128873,0.4194097536166365,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
34,Attention-serving-decode-Softmax(Q*K)*V,"Add(a=4x1x64x64,b=4x1x64x64,memory_placements=0_0_0,type=DT_BFLOAT16)",AttentionservingdecodeSoftmaxQKVattnavgAddBdbeamSNhDBdbeamSNhD,VPU,2304,Memory,500,2,500,0,0,0,0,0,0,0,0,0,2,0,0,65536,"DT_BFLOAT16:[4,1,64,64]","[DT_BFLOAT16:(4,1,64,64)]",16384,AttentionservingdecodeSoftmaxQKVattnavgAddBdbeamSNhDBdbeamSNhD,Add,0,[],Add,,,,,0,,,,,0,2,65536,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.032768,122.0703125,0.0031372549019607837,0.044148395117540686,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
35,Attention-serving-decode-Attention_output,"XlaEinsum(a=4x1x64x64,b=64x64x2880,eq=BLND;NDM->BLM,memory_placements=0_0_0,type=DT_BFLOAT16)",AttentionservingdecodeAttentionoutputMatMulattnOutput2attnAvg2Wo1,MXU,2304,Memory,7966,6946,7966,0,0,0,0,0,0,0,0,6946,1154,0,0,23648768,"DT_BFLOAT16:[4,1,64,64],DT_BFLOAT16:[64,64,2880]","[DT_BFLOAT16:(4,1,2880)]",94371840,AttentionservingdecodeAttentionoutputMatMulattnOutput2attnAvg2Wo1,Einsum,23592960,[],Einsum,"BLND,NDM->BLM","[[4, 1, 64, 64], [64, 64, 2880], [4, 1, 2880]]",1,5929472,736,1,4,2880,4096,0,6946,23648768,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,1684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,11.846829023349235,2764.8294627471932,0.025974784391815196,0.9999383228742109,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
